         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
2013-Sep-20 09:11:07         4171704.39919        872123.03315       4730020.38764       11.80801       48.17149      544.64283           0.22637          -0.47251          20.05217          -0.96525          -2.39559           6.27761                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.36739        872123.08830       4730021.07685       11.80801       48.17150      545.14315           0.28685           0.00191          20.55250          -0.90477          -1.92117           6.77793                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.35253        872123.27179       4730020.94373       11.80801       48.17150      545.05931           0.46950          -0.10401          20.46865          -0.72212          -2.02709           6.69409                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.28703        872123.16709       4730021.26569       11.80801       48.17149      545.89495           0.17579          -0.55493          21.30429          -1.01583          -2.47801           7.52973                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.61945        872123.31400       4730020.46477       11.80801       48.17149      544.88241           0.45619          -0.62455          20.29176          -0.73542          -2.54763           6.51719                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.22865        872123.19679       4730020.98194       11.80801       48.17149      545.64946           0.21681          -0.70612          21.05881          -0.97481          -2.62920           7.28424                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.29153        872123.10987       4730021.28873       11.80801       48.17149      545.90725           0.11886          -0.53412          21.31659          -1.07276          -2.45720           7.54203                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.32056        872122.86269       4730021.39416       11.80800       48.17149      545.97103          -0.12903          -0.44730          21.38038          -1.32065          -2.37038           7.60581                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.21878        872122.83842       4730021.27904       11.80800       48.17149      545.81550          -0.13196          -0.44614          21.22484          -1.32357          -2.36922           7.45028                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.29993        872122.69109       4730021.34134       11.80800       48.17149      545.89478          -0.29278          -0.44130          21.30413          -1.48439          -2.36438           7.52956                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.12943        872122.44827       4730021.42910       11.80800       48.17150      545.81573          -0.49556          -0.22140          21.22508          -1.68718          -2.14448           7.45052                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171705.27132        872122.20763       4730021.06649       11.80800       48.17149      545.60532          -0.76015          -0.53002          21.01467          -1.95177          -2.45310           7.24010                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.46387        872122.19636       4730020.56629       11.80800       48.17150      544.70397          -0.60595          -0.27295          20.11331          -1.79757          -2.19603           6.33875                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.09102        872122.00552       4730019.84640       11.80800       48.17149      543.89811          -0.71645          -0.45200          19.30745          -1.90807          -2.37508           5.53289                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.03068        872122.16931       4730020.09435       11.80800       48.17150      544.06583          -0.54379          -0.26761          19.47518          -1.73541          -2.19068           5.70061                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.54052        872121.95102       4730019.91054       11.80799       48.17149      544.23189          -0.86179          -0.72877          19.64124          -2.05341          -2.65185           5.86667                 8                 8                 0              1.77
2013-Sep-20 09:11:07         4171704.52586        872121.68599       4730020.07563       11.80799       48.17149      544.30918          -1.11820          -0.56757          19.71852          -2.30982          -2.49064           5.94396                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171703.46781        872121.59008       4730019.42381       11.80799       48.17150      543.11970          -0.99558          -0.21592          18.52905          -2.18720          -2.13900           4.75448                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171703.56751        872121.39341       4730019.33126       11.80799       48.17149      543.08898          -1.20849          -0.32038          18.49832          -2.40010          -2.24346           4.72376                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171703.78695        872121.17941       4730019.32935       11.80799       48.17149      543.20160          -1.46286          -0.44908          18.61094          -2.65448          -2.37215           4.83638                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171702.38976        872121.19839       4730018.61087       11.80799       48.17150      541.75675          -1.15838           0.08795          17.16609          -2.34999          -1.83513           3.39153                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171701.44190        872120.89196       4730017.97117       11.80799       48.17150      540.61951          -1.26436           0.39941          16.02885          -2.45597          -1.52367           2.25429                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171701.17321        872120.84805       4730017.55023       11.80799       48.17150      540.12445          -1.25236           0.32134          15.53380          -2.44397          -1.60173           1.75923                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171700.64844        872120.79280       4730016.99803       11.80799       48.17150      539.36288          -1.19905           0.34426          14.77222          -2.39066          -1.57882           0.99766                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171700.72657        872120.72234       4730016.68361       11.80799       48.17150      539.16998          -1.28400           0.08833          14.57933          -2.47562          -1.83475           0.80476                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171700.51847        872120.71210       4730016.79140       11.80799       48.17150      539.11306          -1.25145           0.31356          14.52240          -2.44306          -1.60951           0.74784                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171699.59564        872120.58738       4730016.39961       11.80799       48.17150      538.20168          -1.18468           0.74438          13.61102          -2.37630          -1.17869          -0.16354                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171699.69147        872120.74568       4730015.50668       11.80799       48.17150      537.62047          -1.04934           0.05485          13.02982          -2.24096          -1.86823          -0.74475                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171699.67028        872120.96928       4730015.08224       11.80799       48.17150      537.32089          -0.82614          -0.24684          12.73023          -2.01776          -2.16992          -1.04433                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171699.13180        872120.92148       4730014.75810       11.80800       48.17150      536.72132          -0.76274          -0.06298          12.13066          -1.95436          -1.98605          -1.64390                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171698.54056        872120.79994       4730014.87738       11.80800       48.17150      536.40766          -0.76072           0.46634          11.81700          -1.95233          -1.45674          -1.95756                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171698.50011        872120.78189       4730014.88532       11.80800       48.17150      536.38471          -0.77011           0.50389          11.79405          -1.96173          -1.41919          -1.98051                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171698.01279        872120.82226       4730014.73284       11.80800       48.17150      535.95848          -0.63087           0.75149          11.36783          -1.82249          -1.17158          -2.40674                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171697.64538        872120.79023       4730014.75466       11.80800       48.17151      535.73052          -0.58704           1.03890          11.13987          -1.77865          -0.88417          -2.63470                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171697.90082        872120.86625       4730014.52607       11.80800       48.17150      535.73732          -0.56490           0.68855          11.14666          -1.75652          -1.23452          -2.62790                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171696.84326        872120.98850       4730014.35915       11.80800       48.17151      534.93926          -0.22883           1.32995          10.34860          -1.42044          -0.59312          -3.42596                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171695.60891        872120.90577       4730014.10071       11.80800       48.17152      533.92962          -0.05722           2.07051           9.33896          -1.24884           0.14744          -4.43560                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171695.08337        872120.85036       4730013.77167       11.80801       48.17152      533.33381          -0.00391           2.24285           8.74315          -1.19553           0.31977          -5.03141                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171694.09677        872120.84585       4730013.32604       11.80801       48.17152      532.35709           0.19357           2.66594           7.76644          -0.99805           0.74287          -6.00813                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171694.13998        872120.97457       4730013.49489       11.80801       48.17152      532.52867           0.31072           2.72741           7.93802          -0.88090           0.80433          -5.83655                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171693.90878        872120.92639       4730013.89902       11.80801       48.17153      532.67231           0.31087           3.17290           8.08166          -0.88075           1.24983          -5.69290                 8                 8                 0              1.77
2013-Sep-20 09:11:08         4171693.35721        872120.96302       4730013.44275       11.80801       48.17153      531.97727           0.45959           3.26532           7.38661          -0.73202           1.34225          -6.38795                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.26965        872120.98206       4730013.41088       11.80801       48.17153      531.89896           0.49615           3.30504           7.30831          -0.69546           1.38196          -6.46625                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.42279        872120.46546       4730013.89642       11.80801       48.17153      532.29022          -0.04085           3.59593           7.69957          -1.23247           1.67285          -6.07499                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.28081        872120.22254       4730013.87537       11.80800       48.17153      532.14870          -0.24958           3.72248           7.55805          -1.44119           1.79940          -6.21652                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.05769        872120.19556       4730014.09385       11.80800       48.17153      532.16217          -0.23033           4.03504           7.57151          -1.42195           2.11197          -6.20305                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.16991        872120.29757       4730014.99737       11.80800       48.17154      532.92260          -0.15345           4.54019           8.33194          -1.34506           2.61712          -5.44262                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.51563        872120.33168       4730015.60656       11.80800       48.17154      533.60687          -0.19080           4.68910           9.01622          -1.38242           2.76602          -4.75834                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.82702        872120.32165       4730015.89222       11.80800       48.17154      534.02164          -0.26435           4.65402           9.43098          -1.45596           2.73095          -4.34358                 8                 8                 0              1.77
