         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
1999-Aug-27 09:09:19         4171695.06688        872120.80667       4730013.61388       11.80801       48.17152      533.19951          -0.04331           2.15630           8.60885           0.51709           0.83262          -2.18401                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171697.29174        872119.77460       4730011.88774       11.80799       48.17149      533.22480          -1.50881          -0.46025           8.63414          -0.94842          -1.78393          -2.15871                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171695.80482        872120.06301       4730012.41930       11.80799       48.17151      532.68960          -0.92223           0.93480           8.09895          -0.36184          -0.38889          -2.69391                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171697.11970        872119.96889       4730013.32425       11.80799       48.17150      534.20942          -1.28343           0.59362           9.61877          -0.72304          -0.73007          -1.17409                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171697.39820        872120.76331       4730013.51870       11.80800       48.17150      534.64452          -0.56281           0.39903          10.05387          -0.00241          -0.92465          -0.73899                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171699.71186        872120.40542       4730015.27760       11.80799       48.17150      537.41665          -1.38658          -0.06091          12.82600          -0.82618          -1.38460           2.03314                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171699.30564        872122.12980       4730014.83518       11.80801       48.17149      537.05714           0.38444          -0.32261          12.46649           0.94483          -1.64630           1.67363                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171692.43846        872120.33396       4730012.61079       11.80801       48.17153      530.67173           0.03185           3.47653           6.08108           0.59224           2.15285          -4.71178                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171693.21098        872121.69044       4730014.32957       11.80802       48.17153      532.64189           1.20155           3.85249           8.05123           1.76194           2.52881          -2.74162                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171693.86721        872120.18962       4730014.45907       11.80800       48.17153      532.96195          -0.40181           3.68906           8.37129           0.15859           2.36538          -2.42157                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171698.71781        872121.40717       4730017.22188       11.80800       48.17151      538.35323          -0.20261           1.80803          13.76257           0.35779           0.48434           2.96971                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171699.98798        872122.00531       4730015.74601       11.80801       48.17150      538.16428           0.12295          -0.19387          13.57362           0.68335          -1.51756           2.78076                 8                 0                 8              2.00
